OBJECTID,NEIGH_NO,Neighborhood Name,Neighborhood Type,Neighborhood Subtype,ACS Vinatage,Population 18 years and Over,Population 18 to 64 years,Population 18 to 64 years Below Poverty with a Disability,Population 18 to 64 years Below Poverty without a Disability,Population 18 to 64 years Above Poverty with a Disability,Population 18 to 64 years Above Poverty without a Disability,Population 65 years and Over,Population 65 years and Over Below Poverty with a Disability,Population 65 years and Over Below Poverty without a Disability,Population 65 years and Over Above Poverty with a Disability,Population 65 years and Over Above Poverty without a Disability,Population 18 years and Over with a Disability,Population 18 to 64 years with a Disability,Population 65 years and Over with a Disability,Population Civilian Noninstitutionalized,Population under 19 years with Health Insurance,Population under 19 years without Health Insurance,Population 19 to 34 years with Health Insurance,Population 19 to 34 years without Health Insurance,Population 35 to 64 years with Health Insurance,Population 35 to 64 years without Health Insurance,Population 65 years and Over with Health Insurance,Population 65 years and Over without Health Insurance,Population without Health Insurance,Population under 19 years,Population 19 to 34 years,Population 35 to 64 years,Population 65 years and Over,Households,Households with 1 or more persons with a disability,Neighborhood Type (outside comp plan areas id)
1,1.4,Alki/Admiral,CRA,Southwest,5Y23,10131,7910,105,323,485,6997,2221,9,33,503,1676,1102,590,512,11920,1862,0,2172,59,5218,388,2221,0,447,1862,2231,5606,2221,5595,865,CRA
2,2.1,North Delridge,CRA,Delridge Neighborhoods,5Y23,5213,4629,28,408,316,3877,584,11,12,136,425,491,344,147,5743,558,0,1621,163,2460,357,584,0,520,558,1784,2817,584,3079,452,CRA
3,2.2,High Point,CRA,Delridge Neighborhoods,5Y23,6828,6084,128,584,398,4974,744,73,39,274,358,873,526,347,9194,2392,15,2505,90,3274,174,744,0,279,2407,2595,3448,744,3709,756,CRA
4,2.3,Riverview,CRA,Delridge Neighborhoods,5Y23,3940,3497,29,147,189,3132,443,22,53,80,288,320,218,102,5014,1114,1,1070,18,2315,53,437,6,78,1115,1088,2368,443,1878,329,CRA
5,2.4,Roxhill/Westwood,CRA,Delridge Neighborhoods,5Y23,11602,10014,397,454,606,8557,1588,119,90,550,829,1672,1003,669,13964,2501,58,3109,496,5771,441,1540,48,1043,2559,3605,6212,1588,5825,1171,CRA
6,2.5,Highland Park,CRA,Delridge Neighborhoods,5Y23,6641,5365,103,327,419,4516,1276,41,62,441,732,1004,522,482,8131,1556,57,1677,104,3183,278,1215,61,500,1613,1781,3461,1276,3253,834,CRA
7,3.1,South Park,CRA,Greater Duwamish,5Y23,2933,2647,178,310,186,1973,286,7,43,161,75,532,364,168,3916,1028,0,767,257,1358,220,279,7,484,1028,1024,1578,286,1482,398,CRA
8,3.2,Georgetown,CRA,Greater Duwamish,5Y23,1066,912,13,94,44,761,154,0,8,49,97,106,57,49,1181,120,0,241,61,521,84,154,0,145,120,302,605,154,702,96,CRA
9,3.3,Duwamish/SODO,CRA,Greater Duwamish,5Y23,2926,2417,42,253,107,2015,509,27,61,144,277,320,149,171,3170,244,0,961,113,1213,130,494,15,258,244,1074,1343,509,1628,256,CRA
10,3.4,South Beacon Hill/NewHolly,CRA,Greater Duwamish,5Y23,12499,9903,259,1385,598,7661,2596,283,444,733,1136,1873,857,1016,15593,3141,86,3559,404,5405,402,2560,36,928,3227,3963,5807,2596,4920,1433,CRA
11,3.5,Beacon Hill,CRA,Greater Duwamish,5Y23,7536,5746,45,421,316,4964,1790,189,132,310,1159,860,361,499,9332,1738,152,1523,173,3415,541,1790,0,866,1890,1696,3956,1790,3009,641,CRA
12,3.6,North Beacon Hill/Jefferson Park,CRA,Greater Duwamish,5Y23,13348,10939,255,811,649,9224,2409,247,203,1106,853,2257,904,1353,15170,1888,21,4723,457,5357,315,2408,1,794,1909,5180,5672,2409,7191,1776,CRA
13,4.1,Rainier Beach,CRA,Southeast,5Y23,12712,10406,223,989,872,8322,2306,70,151,602,1483,1767,1095,672,15832,3221,20,3198,590,5699,798,2279,27,1435,3241,3788,6497,2306,5837,1395,CRA
14,4.2,Columbia City,CRA,Southeast,5Y23,17166,14779,362,943,748,12726,2387,326,170,488,1403,1924,1110,814,21122,3999,91,5355,579,8400,311,2377,10,991,4090,5934,8711,2387,8928,1631,CRA
15,4.3,Seward Park,CRA,Southeast,5Y23,8171,6515,33,219,285,5978,1656,44,69,402,1141,764,318,446,10983,2716,128,1605,285,4316,277,1656,0,690,2844,1890,4593,1656,4017,673,CRA
16,4.4,Mt. Baker/North Rainier,CRA,Southeast,5Y23,5828,4635,69,391,242,3933,1193,95,67,244,787,650,311,339,7179,1372,0,1279,149,2877,309,1193,0,458,1372,1428,3186,1193,3114,713,CRA
17,5.1,Madrona/Leschi,CRA,Central,5Y23,9527,7707,260,261,345,6841,1820,174,2,415,1229,1194,605,589,11665,2256,95,2485,105,4786,118,1820,0,318,2351,2590,4904,1820,5010,1141,CRA
18,5.2,Judkins Park,CRA,Central,5Y23,3665,2884,87,242,153,2402,781,198,178,152,253,590,240,350,4185,524,0,1528,100,1136,116,781,0,216,524,1628,1252,781,2337,537,CRA
19,5.3,Central Area/Squire Park,CRA,Central,5Y23,19080,17019,400,1384,958,14277,2061,281,237,489,1054,2128,1358,770,21521,2472,18,8118,746,7543,563,2037,24,1351,2490,8864,8106,2061,10600,1789,CRA
20,6.1,First Hill,CRA,East,5Y23,15897,13824,445,1470,1075,10834,2073,319,275,574,905,2413,1520,893,17884,1061,0,9947,588,3966,249,2055,18,855,1061,10535,4215,2073,10409,2142,CRA
21,6.2,Capitol Hill,CRA,East,5Y23,26121,24700,463,2129,2577,19531,1421,64,179,491,687,3595,3040,555,26719,579,0,15805,750,7580,584,1421,0,1334,579,16555,8164,1421,19740,3228,CRA
22,6.3,North Capitol Hill,CRA,East,5Y23,4402,3873,29,221,256,3367,529,2,38,80,409,367,285,82,4773,371,17,1592,153,2082,29,529,0,199,388,1745,2111,529,2759,335,CRA
23,6.4,Miller Park,CRA,East,5Y23,7006,5982,112,277,435,5158,1024,2,163,169,690,718,547,171,8233,1280,0,2649,42,3208,30,1007,17,89,1280,2691,3238,1024,3794,539,CRA
24,6.5,Madison Park,CRA,East,5Y23,4427,3339,0,72,102,3165,1088,19,0,189,880,310,102,208,5762,1335,0,797,92,2433,17,1088,0,109,1335,889,2450,1088,2641,304,CRA
25,7.1,Montlake/Portage Bay,CRA,Northeast,5Y23,8763,7473,105,602,438,6328,1290,16,20,261,993,820,543,277,10337,1582,0,2795,34,4604,32,1290,0,66,1582,2829,4636,1290,4877,768,CRA
26,7.2,University District,CRA,Northeast,5Y23,13243,12615,610,4570,514,6921,628,53,5,86,484,1263,1124,139,23248,4257,191,14889,767,2422,94,628,0,1052,4448,15656,2516,628,6737,1011,CRA
27,7.3,Ravenna/Bryant,CRA,Northeast,5Y23,22039,18979,355,2212,697,15715,3060,96,111,632,2221,1780,1052,728,27731,5017,93,9146,702,9350,363,3045,15,1173,5110,9848,9713,3060,10754,1403,CRA
28,7.4,Wedgwood/View Ridge,CRA,Northeast,5Y23,13729,11045,88,400,408,10149,2684,42,143,648,1851,1186,496,690,17405,3767,25,3482,253,7172,22,2675,9,309,3792,3735,7194,2684,6978,1033,CRA
29,7.5,Laurelhurst/Sand Point,CRA,Northeast,5Y23,8294,6172,65,469,235,5403,2122,30,16,517,1559,847,300,547,11172,2968,0,1575,19,4417,71,2080,42,132,2968,1594,4488,2122,4452,739,CRA
30,8.1,Northgate/Maple Leaf,CRA,North,5Y23,14693,11676,429,1278,764,9205,3017,223,131,987,1676,2403,1193,1210,17199,2647,17,4946,349,5886,337,2991,26,729,2664,5295,6223,3017,7832,1595,CRA
31,8.2,Olympic Hills/Victory Heights,CRA,North,5Y23,14221,11822,295,606,921,10000,2399,222,128,686,1363,2124,1216,908,17067,2780,78,4034,389,6885,502,2313,86,1055,2858,4423,7387,2399,7610,1778,CRA
32,8.3,Cedar Park/Meadowbrook,CRA,North,5Y23,12307,9589,193,707,553,8136,2718,39,225,735,1719,1520,746,774,14525,2283,63,3415,405,4714,927,2619,99,1494,2346,3820,5641,2718,6764,1339,CRA
33,9.1,Broadview/Bitter Lake,CRA,Northwest,5Y23,12766,9415,258,603,911,7643,3351,314,206,991,1840,2474,1169,1305,15676,2953,24,2853,360,5704,431,3351,0,815,2977,3213,6135,3351,7836,2178,CRA
34,9.2,Licton Springs,CRA,Northwest,5Y23,8759,7802,254,609,491,6448,957,77,95,110,675,932,745,187,9666,978,0,4026,247,3297,161,957,0,408,978,4273,3458,957,4773,763,CRA
35,9.3,Greenwood/Phinney Ridge,CRA,Northwest,5Y23,22725,19634,181,727,952,17774,3091,122,71,672,2226,1927,1133,794,27028,4416,55,7193,484,11255,534,3050,41,1114,4471,7677,11789,3091,12203,1751,CRA
36,9.4,Green Lake,CRA,Northwest,5Y23,14930,12553,302,671,622,10958,2377,34,221,348,1774,1306,924,382,17451,2574,0,5926,163,6165,246,2377,0,409,2574,6089,6411,2377,8809,1220,CRA
37,9.5,Haller Lake,CRA,Northwest,5Y23,8879,7492,151,282,701,6358,1387,29,70,527,761,1408,852,556,10866,1981,55,2798,138,4242,265,1380,7,465,2036,2936,4507,1387,4478,1242,CRA
38,10.1,North Beach/Blue Ridge,CRA,Ballard,5Y23,10198,8204,132,558,347,7167,1994,49,21,494,1430,1022,479,543,12672,2470,62,2083,165,5663,235,1994,0,462,2532,2248,5898,1994,5273,995,CRA
39,10.2,Whittier Heights,CRA,Ballard,5Y23,12076,11081,374,376,495,9836,995,25,16,150,804,1044,869,175,14575,2558,37,4797,95,5975,118,995,0,250,2595,4892,6093,995,6676,934,CRA
40,10.3,Sunset Hill/Loyal Heights,CRA,Ballard,5Y23,12973,10292,0,323,441,9528,2681,160,47,815,1659,1416,441,975,16097,3155,15,2727,113,7229,177,2681,0,305,3170,2840,7406,2681,7542,1306,CRA
41,10.4,Ballard,CRA,Ballard,5Y23,10077,9152,153,498,485,8016,925,62,0,338,525,1038,638,400,11165,1107,3,5424,183,3488,35,895,30,251,1110,5607,3523,925,6707,928,CRA
42,11.1,Fremont,CRA,Lake Union,5Y23,16793,15376,22,762,622,13970,1417,51,113,169,1084,864,644,220,18493,1729,0,8586,171,6292,298,1417,0,469,1729,8757,6590,1417,10271,758,CRA
43,11.2,Wallingford,CRA,Lake Union,5Y23,16135,14689,200,1872,433,12184,1446,31,71,268,1076,932,633,299,18434,2375,23,8189,665,5511,225,1347,99,1012,2398,8854,5736,1446,8690,871,CRA
44,11.3,Cascade/Eastlake,CRA,Lake Union,5Y23,27351,25037,463,1851,1251,21472,2314,137,241,541,1395,2392,1714,678,28139,754,0,16433,622,7582,434,2290,24,1080,754,17055,8016,2314,18525,1909,CRA
45,12.1,Magnolia,CRA,Magnolia/Queen Anne,5Y23,10385,7906,28,203,316,7359,2479,40,101,433,1905,817,344,473,13770,3313,116,1391,49,6334,88,2479,0,253,3429,1440,6422,2479,5753,826,CRA
46,12.2,Interbay,CRA,Magnolia/Queen Anne,5Y23,10546,9437,171,668,578,8020,1109,34,51,251,773,1034,749,285,11990,1409,47,4403,289,4562,171,1109,0,507,1456,4692,4733,1109,6273,930,CRA
47,12.3,Queen Anne,CRA,Magnolia/Queen Anne,5Y23,39596,34860,727,1960,1847,30326,4736,90,115,1123,3408,3787,2574,1213,45090,4813,58,18596,721,15115,1051,4736,0,1830,4871,19317,16166,4736,25423,3312,CRA
48,13.1,Belltown,CRA,Downtown,5Y23,11074,9978,405,663,494,8416,1096,75,53,377,591,1351,899,452,11278,185,31,4850,189,4665,262,1070,26,508,216,5039,4927,1096,7794,1184,CRA
49,13.2,Downtown Commercial Core,CRA,Downtown,5Y23,5989,4986,472,265,401,3848,1003,112,213,166,512,1151,873,278,6164,175,0,2216,81,2570,119,1002,1,201,175,2297,2689,1003,3956,692,CRA
50,13.3,Pioneer Square/International District,CRA,Downtown,5Y23,6084,4549,478,673,686,2712,1535,401,463,236,435,1801,1164,637,6477,363,48,1843,333,2107,248,1502,33,662,411,2176,2355,1535,4132,1459,CRA
51,0,Outside Villages,UCUV,Outside Villages,5Y23,328594,270586,4007,14261,14256,238062,58008,1801,2495,13336,40376,33400,18263,15137,404920,76465,1223,90811,5163,165621,7629,57573,435,14450,77688,95974,173250,58008,171531,28164,UCUV-OUT
52,101,Aurora-Licton Springs,UCUV,Residential Urban Village,5Y23,7409,6782,234,537,463,5548,627,5,46,71,505,773,697,76,8081,743,0,3616,247,2708,140,627,0,387,743,3863,2848,627,3937,613,UCUV
53,102,Greenwood-Phinney Ridge,UCUV,Residential Urban Village,5Y23,2677,2452,21,67,163,2201,225,0,20,37,168,221,184,37,2850,186,0,877,108,1271,183,225,0,291,186,985,1454,225,1571,187,UCUV
54,103,Crown Hill,UCUV,Residential Urban Village,5Y23,3514,3141,104,26,124,2887,373,17,0,96,260,341,228,113,4395,807,99,1193,58,1797,68,373,0,225,906,1251,1865,373,1763,335,UCUV
55,106,Upper Queen Anne,UCUV,Residential Urban Village,5Y23,4649,3948,166,185,321,3276,701,17,26,19,639,523,487,36,4949,338,0,1278,0,2417,215,701,0,215,338,1278,2632,701,3279,517,UCUV
56,107,Eastlake,UCUV,Residential Urban Village,5Y23,5663,5098,185,386,178,4349,565,0,0,114,451,477,363,114,5852,189,0,2560,21,2498,19,565,0,40,189,2581,2517,565,3565,436,UCUV
57,109,23rd & Union-Jackson,UCUV,Residential Urban Village,5Y23,14511,11963,398,1087,711,9767,2548,510,247,871,920,2490,1109,1381,16458,1982,18,5810,641,5114,345,2533,15,1019,2000,6451,5459,2548,7806,2015,UCUV
58,110,North Beacon Hill,UCUV,Residential Urban Village,5Y23,6230,5298,131,283,293,4591,932,137,102,234,459,795,424,371,6966,715,21,2228,355,2487,228,931,1,605,736,2583,2715,932,3298,714,UCUV
59,111,Columbia City,UCUV,Residential Urban Village,5Y23,6437,5710,267,731,134,4578,727,247,92,114,274,762,401,361,8231,1839,36,2483,33,3113,0,727,0,69,1875,2516,3113,727,3647,667,UCUV
60,113,Admiral,UCUV,Residential Urban Village,5Y23,2191,1623,4,36,318,1265,568,0,24,169,375,491,322,169,2742,579,0,482,0,1085,28,568,0,28,579,482,1113,568,1382,386,UCUV
61,114,Bitter Lake Village,UCUV,Hub Urban Village,5Y23,5751,4440,184,336,286,3634,1311,238,139,293,641,1001,470,531,6939,1201,36,1613,154,2323,301,1311,0,491,1237,1767,2624,1311,3626,929,UCUV
62,123,Othello,UCUV,Residential Urban Village,5Y23,11690,9575,198,1269,701,7407,2115,368,307,508,932,1775,899,876,14355,2716,30,3648,712,4918,216,2069,46,1004,2746,4360,5134,2115,5196,1510,UCUV
63,127,Westwood-Highland Park,UCUV,Residential Urban Village,5Y23,5048,4442,20,129,387,3906,606,48,26,290,242,745,407,338,6127,1133,58,1452,386,2228,264,568,38,746,1191,1838,2492,606,2622,695,UCUV
64,128,South Park,UCUV,Residential Urban Village,5Y23,2933,2647,178,310,186,1973,286,7,43,161,75,532,364,168,3916,1028,0,767,257,1358,220,279,7,484,1028,1024,1578,286,1482,398,UCUV
65,131,Madison-Miller,UCUV,Residential Urban Village,5Y23,7740,7186,200,449,466,6071,554,0,138,107,309,773,666,107,8468,728,0,3840,231,2990,125,537,17,373,728,4071,3115,554,4802,645,UCUV
66,201,Lake City,UCUV,Hub Urban Village,5Y23,4548,3747,108,367,257,3015,801,15,156,280,350,660,365,295,5355,807,0,1686,342,1522,197,800,1,540,807,2028,1719,801,2853,621,UCUV
67,202,Roosevelt,UCUV,Residential Urban Village,5Y23,3984,3699,44,311,258,3086,285,0,0,28,257,330,302,28,4377,423,0,2257,75,1235,102,285,0,177,423,2332,1337,285,2413,270,UCUV
68,203,Wallingford,UCUV,Residential Urban Village,5Y23,6285,5678,67,392,228,4991,607,17,28,133,429,445,295,150,7424,1203,23,2566,442,2531,52,521,86,603,1226,3008,2583,607,3736,414,UCUV
69,204,Rainier Beach,UCUV,Residential Urban Village,5Y23,4782,4000,142,550,174,3134,782,33,25,214,510,563,316,247,6407,1679,41,1157,203,2269,276,782,0,520,1720,1360,2545,782,2253,528,UCUV
70,205,West Seattle Junction,UCUV,Hub Urban Village,5Y23,8229,7180,92,644,468,5976,1049,38,41,183,787,781,560,221,8886,649,36,2766,65,4023,298,1049,0,399,685,2831,4321,1049,5733,724,UCUV
71,206,Morgan Junction,UCUV,Residential Urban Village,5Y23,4152,3484,67,299,177,2941,668,3,39,139,487,386,244,142,4907,763,0,941,139,2386,10,668,0,149,763,1080,2396,668,2300,323,UCUV
72,207,Green Lake,UCUV,Residential Urban Village,5Y23,3410,2876,170,90,125,2491,534,34,0,130,370,459,295,164,3601,191,0,1929,0,893,54,534,0,54,191,1929,947,534,2424,455,UCUV
73,301,Northgate,UCUV,Urban Center,5Y23,8470,6795,59,1083,574,5079,1675,196,114,607,758,1436,633,803,9532,1101,17,3450,340,2573,376,1675,0,733,1118,3790,2949,1675,5083,1254,UCUV
74,302,Fremont,UCUV,Hub Urban Village,5Y23,6820,6391,22,340,218,5811,429,48,53,12,316,300,240,60,7321,518,0,4050,111,2152,61,429,0,172,518,4161,2213,429,4433,218,UCUV
75,303,Ballard,UCUV,Hub Urban Village,5Y23,18720,17082,219,826,911,15126,1638,118,16,559,945,1807,1130,677,21319,2651,3,9640,240,6967,180,1608,30,453,2654,9880,7147,1638,11912,1731,UCUV
76,305,Mt Baker,UCUV,Hub Urban Village,5Y23,6259,5006,126,362,181,4337,1253,153,116,537,447,997,307,690,7836,1577,0,1692,162,2726,426,1253,0,588,1577,1854,3152,1253,3484,950,UCUV
77,312,South Lake Union,UCUV,Urban Center,5Y23,11453,10694,137,803,456,9298,759,44,15,398,302,1035,593,442,11775,322,0,7658,334,2564,138,759,0,472,322,7992,2702,759,8217,842,UCUV
78,401,University District,UCUV,Urban Center,5Y23,18765,17991,811,6573,524,10083,774,89,28,232,425,1656,1335,321,29410,4241,225,20291,1130,2506,243,746,28,1626,4466,21421,2749,774,10053,1385,UCUV
79,412,Uptown,UCUV,Urban Center,5Y23,12402,11228,416,676,859,9277,1174,58,71,355,690,1688,1275,413,12651,401,0,6811,332,3616,317,1174,0,649,401,7143,3933,1174,8666,1340,UCUV
80,413,Downtown,UCUV,Urban Center,5Y23,40073,34738,1702,2741,2457,27838,5335,733,964,962,2676,5854,4159,1695,41285,1129,79,18709,1021,13993,1019,5249,86,2205,1208,19730,15012,5335,27067,4426,UCUV
81,414,First Hill/Capitol Hill,UCUV,Urban Center,5Y23,46082,41935,835,3822,3973,33305,4147,426,544,1303,1874,6537,4808,1729,48811,1784,17,26757,1465,13781,860,4129,18,2360,1801,28222,14641,4147,32931,5854,UCUV
82,502,Greater Duwamish,UCUV,Manufacturing Industrial,5Y23,469,394,13,0,22,359,75,0,8,30,37,65,35,30,497,33,0,117,50,189,33,75,0,83,33,167,222,75,322,53,UCUV
83,1,Council District 1,CD,,5Y23,88565,74387,1793,4560,5057,62977,14178,622,683,3500,9373,10972,6850,4122,107497,19446,293,22418,1678,46886,2598,14042,136,4705,19739,24096,49484,14178,48209,8638,CD
84,2,Council District 2,CD,,5Y23,87440,71580,1687,6490,4499,58904,15860,1704,1801,3763,8592,11653,6186,5467,107284,19235,546,26572,3273,38537,3261,15751,109,7189,19781,29845,41798,15860,43824,9943,CD
85,3,Council District 3,CD,,5Y23,96170,83845,1789,5958,5908,70190,12325,964,1042,3257,7062,11918,7697,4221,107153,10955,130,42544,2174,37428,1597,12266,59,3960,11085,44718,39025,12325,60156,10467,CD
86,4,Council District 4,CD,,5Y23,79662,69422,1434,9846,2629,55513,10240,270,414,2090,7466,6423,4063,2360,104112,18290,322,41250,2400,30732,878,10075,165,3765,18612,43650,31610,10240,42569,5370,CD
87,5,Council District 5,CD,,5Y23,88759,72456,1673,5038,5100,60645,16303,976,911,4695,9721,12444,6773,5671,105543,17129,247,27428,2444,38863,3129,16062,241,6061,17376,29872,41992,16303,47887,10248,CD
88,6,Council District 6,CD,,5Y23,87371,74152,1033,2871,3179,67069,13219,453,479,2823,9464,7488,4212,3276,105048,17787,303,29118,925,42574,1122,13171,48,2398,18090,30043,43696,13219,50023,7100,CD
89,7,Council District 7,CD,,5Y23,91973,81967,1918,5208,4477,70364,10006,411,593,2394,6608,9200,6395,2805,100006,7279,121,45805,1923,32834,2038,9956,50,4132,7400,47728,34872,10006,60719,7833,CD
90,1.1,Arbor Heights,CRA,Southwest,5Y23,4736,3638,40,130,265,3203,1098,5,16,216,861,526,305,221,6143,1404,42,674,21,2868,36,1098,0,99,1446,695,2904,1098,2693,536,CRA
91,1.2,Fauntleroy/Seaview,CRA,Southwest,5Y23,12332,9907,134,504,423,8846,2425,33,105,404,1883,994,557,437,15078,2817,17,2218,217,7316,68,2425,0,302,2834,2435,7384,2425,6879,869,CRA
92,1.3,West Seattle Junction/Genesee Hill,CRA,Southwest,5Y23,19582,16724,177,814,1197,14536,2858,176,146,559,1977,2109,1374,735,23521,3963,103,5341,19,10948,289,2858,0,411,4066,5360,11237,2858,11240,1836,CRA
